Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h)
-79.63,43.68,TORONTO INTL A,6158731,2025-01-01,2025,1,1,2.8,-0.2,1.3,16.7,0,0.7,0,0.7,,30,62
-79.63,43.68,TORONTO INTL A,6158731,2025-01-02,2025,1,2,0.4,-3.4,-1.5,19.5,0,0,1.8,1.8,0,26,59
-79.63,43.68,TORONTO INTL A,6158731,2025-01-03,2025,1,3,-0.3,-5.1,-2.7,20.7,0,0,0,0,1,29,60
-79.63,43.68,TORONTO INTL A,6158731,2025-01-04,2025,1,4,-1.8,-7,-4.4,22.4,0,0,0,0,0,27,71
-79.63,43.68,TORONTO INTL A,6158731,2025-01-05,2025,1,5,-0.8,-6.4,-3.6,21.6,0,0,0,0,0,26,50
-79.63,43.68,TORONTO INTL A,6158731,2025-01-06,2025,1,6,-3.6,-9.8,-6.7,24.7,0,0,0,0,0,1,42
-79.63,43.68,TORONTO INTL A,6158731,2025-01-07,2025,1,7,-4,-9.3,-6.7,24.7,0,0,2.4,2.4,1,29,55
-79.63,43.68,TORONTO INTL A,6158731,2025-01-08,2025,1,8,-5.8,-12.9,-9.4,27.4,0,0,0,0,1,31,53
-79.63,43.68,TORONTO INTL A,6158731,2025-01-09,2025,1,9,-4.1,-12.8,-8.5,26.5,0,0,0,0,0,34,35
-79.63,43.68,TORONTO INTL A,6158731,2025-01-10,2025,1,10,-2.6,-12.4,-7.5,25.5,0,0,5.2,4.2,0,,
-79.63,43.68,TORONTO INTL A,6158731,2025-01-11,2025,1,11,0.2,-5.8,-2.8,20.8,0,0,4,2.6,8,,
-79.63,43.68,TORONTO INTL A,6158731,2025-01-12,2025,1,12,1.7,-4.7,-1.5,19.5,0,0,0.4,0.4,8,20,34
-79.63,43.68,TORONTO INTL A,6158731,2025-01-13,2025,1,13,1.3,-8.2,-3.5,21.5,0,0,0.6,0.6,6,26,59
-79.63,43.68,TORONTO INTL A,6158731,2025-01-14,2025,1,14,-5.7,-9.3,-7.5,25.5,0,0,0,0,4,28,59
